record_id,nhtsa_record_id,recall_campaign_id,manufacturer_campaign_id,vehicle_make,vehicle_model,model_year,vehicle_year_num,vehicle_era,manufacturer,manufacturer_text,make_origin,recall_type_code,recall_type_label,component,component_category,recall_initiation_date,recall_date_parsed,report_received_date,owner_notification_date,notification_date_parsed,manufacture_date_begin,manufacture_date_end,recall_year,recall_month,recall_quarter,recall_age_days,days_to_owner_notification,potential_units_affected,units_affected_num,recall_scale,summary,consequence,remedy,notes,defect_severity,fire_risk_flag,manufacturer_recall_count,is_repeat_manufacturer,recall_risk_score,risk_tier,influenced_by,data_source,source_url,scrape_date,dataset_version,record_creation_date,rcl_cmpt_id,mfr_comp_name,mfr_comp_desc,mfr_comp_ptno,creation_date_parsed,defect_severity_score,vehicle_age,summary_length,consequence_length,component_severity,contains_fire,contains_crash,contains_injury,contains_fatal,contains_death,contains_stall,contains_overheat,contains_shutdown,contains_loss_of_control,manufacturer_frequency,risk_label,ai_summary
567472c14fa6c1,299573,25V853000,22-005,MCI,D4000ISTV,2012.0,2012.0,2010s,"Motor Coach Industries, Inc","Motor Coach Industries, Inc",Other,V,Vehicle,Other,Engine / Powertrain,20251210,12/10/2025,No,20260204.0,2/4/2026,,,2025,12,4,132,56.0,15454,15454,MEDIUM,motor coach industries mci is recalling certain 102dl3 102d3 mc12ptv e4500 d4000 102d3istv d4500 j4500 d4000istv d4005 d4505 and j3500 transit buses please refer to mci s recall report for specific model year information the front door lower curb view glazing material is incorrect as such these vehicles fail to conform to federal motor vehicle safety standard fmvss number 205 glazing materials,the incorrect window glazing material may reduce the driver s visibility increasing the risk of a crash,mci will replace the glass free of charge owner notification letters were mailed february 4 2026 owners may contact mci customer service at 1 800 241 2947 mci s number for this recall is 22 005,,LOW,0,1443,1,17,LOW,MFR,NHTSA ODI Flat File,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,4/21/2026,v1.0,20251211,2.61e+23,"WINDOW-ACRYLIC, LWR",Lower curb view glazing installed on one-piece entrance door.,03-32-1036,12/11/2025,0.242,14.0,396,103,1,0,1,0,0,0,0,0,0,0,17,Low,Motor coach industries mci is recalling certain 102dl3 102d3 mc12ptv e4500 d4000 102d3istv d4500...
54ceeabd818c17,134451,18V682000,,WINNEBAGO,MINNIE,2019.0,2019.0,2010s,Winnebago Towable,"Winnebago of Indiana, LLC",US Domestic,V,Vehicle,Other,Fuel System,20181001,10/1/2018,No,20190307.0,3/7/2019,20161221.0,20180220.0,2018,10,4,2759,157.0,1034,1034,MEDIUM,winnebago towable winnebago is recalling certain 2017 2019 winnebago minnie drop recreational trailers the liquid propane lp gas supply line may be missing p clamps allowing the supply line to contact the burner assembly on the refrigerator,if the lp line contacts the burner assembly the hose may melt causing a gas leak increasing the risk of a fire,winnebago will notify owners and dealers will inspect the lp supply line for melting replacing and securing the line as necessary free of charge the recall began march 7 2019 owners may contact winnebago customer service at 1 574 825 5280 extension 5220,"Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",HIGH,0,173,1,39,MODERATE,MFR,NHTSA ODI Flat File,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,4/21/2026,v1.0,20181004,9.24e+22,,,,10/4/2018,0.3474,7.0,240,110,1,1,0,0,0,0,0,0,0,0,7,Medium,Winnebago towable winnebago is recalling certain 2017 2019 winnebago minnie drop recreational tra...
8a01894b1b5f20,290421,24V218000,9903604,ENTEGRA,EXPANSE,2024.0,2024.0,2020s,"Jayco, Inc.","Jayco, Inc.",Other,V,Vehicle,Other,Fuel System,20240321,3/21/2024,No,20240425.0,4/25/2024,,,2024,3,1,761,35.0,533,533,SMALL,jayco inc jayco is recalling certain 2023 2024 entegra ethos expanse jayco solstice and swift vehicle the liquid level remote fill gauge on the propane tank may leak when in the open position,a fuel leak in the presence of an ignition source increases the risk of a fire,dealers will inspect and replace the bleed valve as necessary free of charge owner notification letters were mailed april 25 2024 owners may contact jayco customer service at 1 800 283 8267 jayco s number for this recall is 9903604,"Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",CRITICAL,0,2044,1,51,HIGH,MFR,NHTSA ODI Flat File,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,4/21/2026,v1.0,20240321,1.27e+23,Remote Fill Liquid Level Gauge,Bleeder valve with circle shape in hand-wheel,11045B,3/21/2024,0.148,2.0,191,78,1,1,0,0,0,0,0,0,0,0,63,High,Jayco inc jayco is recalling certain 2023 2024 entegra ethos expanse jayco solstice and swift veh...
abad0002d938ed,180370,21V461000,PM985,NISSAN,SENTRA,2020.0,2020.0,2020s,"Nissan North America, Inc.","Nissan North America, Inc.",Japanese,V,Vehicle,Steering,Steering,20210617,6/17/2021,No,20210805.0,8/5/2021,,,2021,6,2,1769,49.0,138736,138736,LARGE,nissan north america inc nissan is recalling certain 2020 2021 sentra vehicles the left and or right tie rod may be bent,a bent tie rod can break causing a loss of steering control and increasing the risk of a crash,dealers will inspect and replace the left and or right tie rods as necessary free of charge owner notification letters were mailed august 5 2021 owners may contact nissan customer service at 1 800 867 7669 nissan s number for this recall is pm985,"Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",CRITICAL,0,3827,1,58,HIGH,MFR,NHTSA ODI Flat File,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,4/21/2026,v1.0,20210621,1.11e+23,"SOCKET KIT â TIE ROD, INNER",Tie Rod,D8521-6LB0A,6/21/2021,0.1846,6.0,120,94,5,0,1,0,0,0,0,0,0,0,67,High,Nissan north america inc nissan is recalling certain 2020 2021 sentra vehicles the left and or ri...
99a1b10b9a0f7a,87945,11V005000,,DUTCHMEN,VOLTAGE,2011.0,2011.0,2010s,"DUTCHMEN MANUFACTURING, INC.","Dutchmen Manufacturing, Inc.",Other,V,Vehicle,Fuel System,Fuel System,20110106,1/6/2011,No,20110117.0,1/17/2011,20100816.0,20101223.0,2011,1,1,5584,11.0,229,229,SMALL,dutchmen is recalling certain model year 2011 rubicon and voltage recreational vehicles manufactured between august 16 2010 through december 23 2011 the fuel shut off timer modules are defective the module was supposed to be programmed with a 5 minute shut off feature which automatically shuts off the fuel pump after 5 minutes of no activity the defective modules do not have this automatic shut off feature programmed into them this allows the fuel pump to continuously run if not shut off in the initial 5 minute period causing it to overheat and fail,overheating may lead to fire property damage or personal injury,dealers will replace the defective fuel shut off timer modules free of charge the safety recall began on january 17 2011 owners may contact dutchmen at 574 537 0700,"OWNERS MAY ALSO CONTACT THE NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION'S VEHICLE SAFETY HOTLINE AT 1-888-327-4236 (TTY 1-800-424-9153), OR GO TO <A HREF=HTTP://WWW.SAFERCAR.GOV>HTTP://WWW.SAFERCAR.GOV</A> .",CRITICAL,0,80,1,51,HIGH,MFR,NHTSA ODI Flat File,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,4/21/2026,v1.0,20110110,3.89e+22,,,,1/10/2011,0.2133,15.0,555,63,5,1,0,1,0,0,0,1,0,0,4,High,Dutchmen is recalling certain model year 2011 rubicon and voltage recreational vehicles manufactu...
5dc1d94b9f5f87,93534,12V557000,2013010004,MERCEDES-BENZ,S550,2011.0,2011.0,2010s,"Mercedes-Benz USA, LLC.","Mercedes-Benz USA, LLC",German,V,Vehicle,Fuel System,Steering,20121203,12/3/2012,No,20130215.0,2/15/2013,20110418.0,20110712.0,2012,12,4,4887,74.0,5800,5800,MEDIUM,mercedes benz is recalling certain model year 2011 2012 s400 s550 s550 4matic s63 amg c300 c300 4matic e350 glk350 glk350 4matic cl550 4matic and cl63 amg vehicles manufactured from april 18 2011 through july 12 2011 due to an irregularity stemming from the molding process of the fuel filter flange the fuel filter flange may crack when operated in high temperatures,if the fuel filter flange cracks it will leak fuel which may lead to a fire if an external ignition source is present,mercedes benz will notify owners and dealers will replace the fuel filter free of charge the recall campaign is expected to begin in february 2013 owners may contact mercedes benz at 1 800 367 6372,"Owners may also contact the National Highway Traffic Safety Administration's Vehicle Safety Hotline at 1-888-327-4236 (TTY: 1-800-424-9153), or go to www.safercar.gov.",LOW,0,1746,1,17,LOW,MFR,NHTSA ODI Flat File,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,4/21/2026,v1.0,20121204,5.14e+22,,,,12/4/2012,0.1908,15.0,367,117,5,1,0,0,0,0,0,0,0,0,66,Low,Mercedes benz is recalling certain model year 2011 2012 s400 s550 s550 4matic s63 amg c300 c300 4...
ee4f2100634b41,149942,20V471000,,BMW,K1200 GT,2007.0,2007.0,2000s,"BMW of North America, LLC","BMW of North America, LLC",German,V,Vehicle,Fuel System,Steering,20200810,8/10/2020,No,20210118.0,1/18/2021,,,2020,8,3,2080,161.0,16926,16926,MEDIUM,bmw of north america llc bmw is recalling certain 2009 2011 k1300 s gt 2010 2011 s1000 rr 2005 2011 r1200 gs gs adventure r rt s st 2006 2010 hp2 enduro megamoto sport 2005 2008 k1200 r r sport s gt and 2012 k1600 gt gtl motorcycles that were repaired under recall 13v 617 with the support ring remedy and where the fuel pump was not replaced at a later date this recall involves the fuel pump and also the auxiliary fuel pump as applicable the affected motorcycles have a fuel pump flange that may crack possibly resulting in a fuel leak while the engine is running,a fuel leak in the presence of an ignition source can increase the risk of a fire,bmw will notify owners and dealers will replace the fuel pump s with an improved version free of charge the recall began january 18 2021 owners may contact bmw customer service at 1 800 525 7417,"Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",MEDIUM,0,4177,1,24,LOW,MFR,NHTSA ODI Flat File,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,4/21/2026,v1.0,20200811,1.05e+23,Fuel Pump,Fuel Pump,Model Dependent,8/11/2020,0.1734,19.0,566,81,5,1,0,0,0,0,0,0,0,0,184,Low,Bmw of north america llc bmw is recalling certain 2009 2011 k1300 s gt 2010 2011 s1000 rr 2005 20...
23935784c6ee46,142636,19E068000,AS1019XXXX,HONDA,ACCORD,2004.0,2004.0,2000s,"Dorman Products, Inc.",Honda (American Honda Motor Co.),Japanese,E,Equipment,Other,Engine / Powertrain,20191010,10/10/2019,No,20191209.0,12/9/2019,,,2019,10,4,2385,60.0,3744,3744,MEDIUM,dorman products inc dorman is recalling certain accelerator pedal assemblies part numbers 699 114 and 825 5029 1 sold as replacement parts for 2003 2006 acura mdx 2004 2008 acura tl and tsx 2003 2007 honda accord 2005 2006 honda cr v 2007 2011 honda element 2005 2008 honda pilot and 2006 2014 honda ridgeline vehicles the rotating portion of the accelerator pedal assembly may bind as such these vehicles fail to comply with the requirements of federal motor vehicle safety standard fmvss number 124 accelerator control systems,if the accelerator pedal binds the engine may not quickly return to idle after the pedal is no longer pressed increasing the risk of a crash,dorman will notify owners and qualified service facilities will replace the affected accelerator pedal assemblies free of charge the recall began december 9 2019 owners may contact dorman customer service at 1 800 523 2492 using option 5 dorman s number for this recall is as1019xxxx,"Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",LOW,0,102,1,17,LOW,MFR,NHTSA ODI Flat File,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,4/21/2026,v1.0,20191011,1e+23,,,,10/11/2019,0.3631,22.0,528,140,1,0,1,0,0,0,0,0,0,0,3,Low,Dorman products inc dorman is recalling certain accelerator pedal assemblies part numbers 699 114...
3b8da3cf4a39a7,304406,25V540000,25S88,FORD,F-350 SD,2026.0,2026.0,2020s,Ford Motor Company,Ford Motor Company,US Domestic,V,Vehicle,Electrical System,Electrical,20250822,8/22/2025,No,20250905.0,9/5/2025,,,2025,8,3,242,14.0,355656,355656,LARGE,ford motor company ford is recalling certain 2025 2026 f 550 sd f 450 sd f 350 sd f 250 sd and 2025 f 150 vehicles the instrument panel cluster ipc may fail at startup,an instrument panel display that does not show critical information such as warning lights or vehicle speed increases the risk of a crash,the instrument panel cluster software will be updated by a dealer or through an over the air ota update free of charge owner notification letters were mailed september 5 2025 owners may contact ford customer service at 1 866 436 7332 ford s number for this recall is 25s88,,HIGH,0,12531,1,43,MODERATE,MFR,NHTSA ODI Flat File,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,4/21/2026,v1.0,20250822,2.6e+23,Instrument Panel Cluster,RCB Digital Instrument Panel Cluster,SL3V-10849-B*,8/22/2025,0.2177,0.0,167,137,4,0,1,0,0,0,0,0,0,0,224,Medium,Ford motor company ford is recalling certain 2025 2026 f 550 sd f 450 sd f 350 sd f 250 sd and 20...
a300f89ca22b0a,147044,20V002000,TKB-20,SUBARU,WRX,2008.0,2008.0,2000s,"Subaru of America, Inc.","Subaru of America, Inc.",Japanese,V,Vehicle,Airbags,Air Bag,20200102,1/2/2020,No,20200107.0,1/7/2020,20030109.0,20140128.0,2020,1,1,2301,5.0,127547,127547,LARGE,subaru of america inc subaru is recalling certain 2009 2013 forester 2003 2006 baja 2004 2011 impreza 2004 2014 wrx including sti 2003 2014 legacy and outback and 2006 saab 9 2x vehicles originally sold or ever registered in the states of arizona arkansas delaware district of columbia illinois indiana kansas kentucky maryland missouri nebraska nevada new jersey new mexico north carolina ohio oklahoma pennsylvania tennessee virginia and west virginia or zone b these vehicles had their passenger frontal air bag inflators previously replaced under a prior recall using inflators of the same design the inflators may explode due to propellant degradation occurring after long term exposure to high absolute humidity temperature and temperature cycling,an inflator explosion may result in sharp metal fragments striking the driver or other occupants resulting in serious injury or death,subaru will notify their owners general motors will notify saab owners dealers will replace the passenger air bag inflators free of charge the recall began january 7 2020 subaru owners may contact subaru customer service at 1 844 373 6614 saab owners may contact the saab customer assistance center at 1 800 955 9007 subaru s number for this recall is tkb 20,"Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",LOW,0,1437,1,21,LOW,ODI,NHTSA ODI Flat File,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,4/21/2026,v1.0,20200103,1.01e+23,,,,1/3/2020,0.2203,18.0,753,133,5,0,0,1,0,1,0,0,0,0,76,Low,Subaru of america inc subaru is recalling certain 2009 2013 forester 2003 2006 baja 2004 2011 imp...
